"COUNTRY","REGION"
"Algeria","North"
"Egypt","North"
"Libya","North"
"Mauritania","North"
"Morocco","North"
"Sahrawi Arab Democratic Republic (Western Sahara)","North"
"Tunisia","North"
"Angola","Southern"
"Botswana","Southern"
"Lesotho","Southern"
"Malawi","Southern"
"Mozambique","Southern"
"Namibia","Southern"
"South Africa","Southern"
"Swaziland","Southern"
"Zambia","Southern"
"Zimbabwe","Southern"
"Comoros","East"
"Djibouti","East"
"Ethiopia","East"
"Eritrea","East"
"Kenya","East"
"Madagascar","East"
"Mauritius","East"
"Rwanda","East"
"Seychelles","East"
"Somalia","East"
"South Sudan","East"
"Sudan","East"
"Tanzania","East"
"Uganda","East"
"Benin","West"
"Burkina Faso","West"
"Cape Verde","West"
"Côte d’Ivoire","West"
"Gambia","West"
"Ghana","West"
"Guinea-Bissau","West"
"Guinea","West"
"Liberia","West"
"Mali","West"
"Niger","West"
"Nigeria","West"
"Senegal","West"
"Sierra Leone","West"
"Togo","West"
"Burundi","Central"
"Cameroon","Central"
"Central African Republic","Central"
"Chad","Central"
"Congo Republic","Central"
"DR Congo","Central"
"Equatorial Guinea","Central"
"Gabon","Central"
"São Tomé & Príncipe","Central"
