year,week,COVID tweets,date,Anti-Chinese Politics tweets
2019,49,2,2019-12-05,347568
2019,50,1,2019-12-10,279788
2019,51,2,2019-12-17,448243
2019,53,2,2019-12-31,48411
2020,1,278,2020-01-01,279677
2020,2,2910,2020-01-08,209990
2020,3,43043,2020-01-15,220610
2020,4,339597,2020-01-22,298683
2020,5,261026,2020-01-29,204714
2020,6,133456,2020-02-05,162746
2020,7,91195,2020-02-12,130692
2020,8,52280,2020-02-19,142923
2020,9,50678,2020-02-26,193969
2020,10,153233,2020-03-04,211255
2020,11,726676,2020-03-11,232832
2020,12,1368496,2020-03-18,482052
2020,13,701647,2020-03-25,470254
2020,14,362954,2020-04-01,304250
2020,15,320687,2020-04-08,281225
2020,16,274903,2020-04-15,334391
2020,17,155766,2020-04-22,213978
2020,18,133721,2020-04-29,190125
2020,19,121054,2020-05-06,298649
2020,20,100746,2020-05-13,264908
2020,21,124069,2020-05-20,591458
2020,22,115064,2020-05-27,614951
2020,23,41063,2020-06-03,324686
2020,24,35876,2020-06-10,308342
2020,25,159963,2020-06-17,482743
2020,26,141474,2020-06-24,349996
2020,27,120152,2020-07-01,514566
2020,28,57808,2020-07-08,309034
2020,29,80605,2020-07-15,272594
2020,30,104024,2020-07-22,213349
2020,31,60051,2020-07-29,247185
2020,32,58788,2020-08-05,303747
2020,33,45045,2020-08-12,227101
2020,34,74693,2020-08-19,181432
2020,35,48693,2020-08-26,309628
2020,36,51165,2020-09-02,460926
2020,37,53789,2020-09-09,267486
2020,38,65570,2020-09-16,183232
2020,39,43882,2020-09-23,210785
2020,40,144509,2020-09-30,210780
2020,41,54373,2020-10-07,195009
2020,42,33530,2020-10-14,203335
2020,43,29801,2020-10-21,150127
2020,44,28023,2020-10-28,109669
2020,45,28635,2020-11-04,99599
2020,46,27784,2020-11-11,130075
2020,47,27824,2020-11-18,112722
2020,48,21734,2020-11-25,98186
2020,49,37690,2020-12-02,135495
2020,50,19773,2020-12-09,115596
2020,51,34480,2020-12-16,108264
2020,52,43045,2020-12-23,109839
2020,53,14950,2020-12-30,18528
2021,1,29945,2021-01-01,NA
2021,2,17898,2021-01-08,NA
2021,3,37512,2021-01-15,NA
2021,4,69749,2021-01-22,NA
2021,5,38614,2021-01-29,NA
2021,6,31348,2021-02-05,NA
2021,7,19050,2021-02-12,NA
2021,8,33109,2021-02-19,NA
2021,9,27243,2021-02-26,NA
2021,10,25620,2021-03-05,NA
2021,11,68650,2021-03-12,NA
2021,12,35334,2021-03-19,NA
2021,13,2441,2021-03-26,NA
2019,52,NA,2019-12-26,362885
