academic_term	course	level	venue
2023.2	Hydropower Structures	Undergraduate	UFAL
2023.2	Fluid Mechanics	Undergraduate	UFAL
2023.2	Hydrology	Graduate	PPGRHS/UFAL
2023.1	Hydropower Structures	Undergraduate	UFAL
2023.1	Fluid Mechanics	Undergraduate	UFAL
2023.1	Hydrology	Graduate	PPGRHS/UFAL
2022.2	Hydropower Structures	Undergraduate	UFAL
2022.2	Curriculum Extension Activities	Undergraduate	UFAL
2022.2	Hydrology	Graduate	PPGRHS/UFAL
2022.1	Hydropower Structures	Undergraduate	UFAL
2022.1	Fluid Mechanics	Undergraduate	UFAL
2022.1	Internships	Undergraduate	UFAL
2022.1	Hydrology	Graduate	PPGRHS/UFAL
2021.2	Hydropower Structures	Undergraduate	UFAL
2021.2	Fluid Mechanics	Undergraduate	UFAL
2021.2	Internships	Undergraduate	UFAL
2021.2	Hydrology	Graduate	PPGRHS/UFAL
2021.1	Hydropower Structures	Undergraduate	UFAL
2021.1	Fluid Mechanics	Undergraduate	UFAL
2021.1	Internships	Undergraduate	UFAL
2021.1	Hydrology	Graduate	PPGRHS/UFAL
2020.2	Hydropower Structures	Undergraduate	UFAL
2020.2	Fluid Mechanics	Undergraduate	UFAL
2020.2	Internships	Undergraduate	UFAL
2020.2	Hydrology	Graduate	PPGRHS/UFAL
2020.1	Hydropower Structures	Undergraduate	UFAL
2020.1	Fluid Mechanics	Undergraduate	UFAL
2020.1	Internships	Undergraduate	UFAL
2020.1	Hydrology	Graduate	PPGRHS/UFAL
2019.2	Hydropower Structures	Undergraduate	UFAL
2019.2	Fluid Mechanics	Undergraduate	UFAL
2019.2	Internships	Undergraduate	UFAL
2019.1	Hydropower Structures	Undergraduate	UFAL
2019.1	Fluid Mechanics	Undergraduate	UFAL
2019.1	Hydrology	Graduate	PPGRHS/UFAL
2018.2	Hydropower Structures	Undergraduate	UFAL
2018.2	Fluid Mechanics	Undergraduate	UFAL
2018.2	Hydropower Structures	Undergraduate	UFAL
2018.2	Fluid Mechanics	Undergraduate	UFAL
2018.2	Hydrologic Modelling	Graduate	PPGRHS/UFAL
2018.1	Fluid Mechanics	Undergraduate	UFAL
2018.1	Multivariable Calculus	Undergraduate	UFAL
2017.2	Hydrology	Undergraduate	UFAL
2017.2	Fluid Mechanics	Undergraduate	UFAL
2017.1	Hydrology	Undergraduate	UFAL
2017.1	Fluid Mechanics	Undergraduate	UFAL
2016.2	Hydrology	Undergraduate	UFAL
2016.2	Multivariable Calculus	Undergraduate	UFAL
2016.2	Fluid Mechanics	Undergraduate	UFAL
2016.1	Hydrology	Undergraduate	UFAL
2016.1	Multivariable Calculus	Undergraduate	UFAL
2016.1	Hydraulics	Undergraduate	UFSC
2016.1	Hydrology	Undergraduate	UFSC
2015.2	Hydrologic Modelling	Undergraduate	PPGEA/UFSC
2015.2	Hydraulics	Undergraduate	UFSC
2015.2	Hydrology	Undergraduate	UFSC
2015.1	Hydraulics	Undergraduate	UFSC
2015.1	Hydrology	Undergraduate	UFSC
